Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
Stardew Valley,2016.0,"EricBarone,ConcernedApe",General;Role-Playing;General,PC,89.0,8.6,No Online Multiplayer
What Remains of Edith Finch,2017.0,GiantSparrow,Adventure;3D;First-Person,PC,89.0,8.2,No Online Multiplayer
XCOM 2: War of the Chosen,2017.0,FiraxisGames,Strategy;Turn-Based;Tactics,PC,88.0,7.7,not specified
Fallout 4,2015.0,BethesdaGameStudios,General;Role-Playing;Western-Style,XboxOne,88.0,6.4,No Online Multiplayer
Spelunky,2013.0,Mossmouth,Action;Platformer;Platformer;2D;2D,PlayStationVita,88.0,8.0,not specified
N++,2017.0,MetanetSoftwareInc.,Action;Platformer;2D,XboxOne,88.0,5.2,not specified
What Remains of Edith Finch,2017.0,GiantSparrow,General;Adventure;3D;First-Person,PlayStation4,88.0,8.0,No Online Multiplayer
Deus Ex: Human Revolution - Director's Cut,2013.0,"EidosMontreal,StraightRight",Action Adventure;Sci-Fi;Sci-Fi;General,WiiU,88.0,8.5,1 Player
Nuclear Throne,2015.0,Vlambeer,General;Action;General;Shooter;Shoot-'Em-Up;Top-Down,PC,88.0,7.6,No Online Multiplayer
Crusader Kings II: The Old Gods,2013.0,ParadoxDevelopmentStudio,Strategy;Real-Time;Historic;General;Historic,PC,88.0,8.7,not specified
Wolfenstein II: The New Colossus,2017.0,MachineGames,Action;Shooter;First-Person;Arcade,XboxOne,88.0,6.2,not specified
Mario Kart 8,2014.0,Nintendo,Driving;Racing;Arcade;Kart;Kart;Automobile,WiiU,88.0,8.9,Up to 12 
Super Mario Maker,2015.0,Nintendo,Action;Platformer;2D,WiiU,88.0,8.8,No Online Multiplayer
Divinity: Original Sin Enhanced Edition,2015.0,LarianStudios,Role-Playing;Action RPG;Western-Style,XboxOne,88.0,7.6,not specified
The Binding of Isaac: Rebirth,2014.0,Nicalis,Horror;Action;Action Adventure;Shooter;Survival;Shoot-'Em-Up;Top-Down,PlayStation4,88.0,7.8,not specified
FIFA 14,2013.0,EACanada,Sim;Sports;Traditional;Team;Soccer;Sim,XboxOne,88.0,5.8,Up to 22 
Kerbal Space Program,2015.0,"SQUADTeam,Squad",Sci-Fi;Small Spaceship;Small Spaceship;Simulation;Space;Combat,PC,88.0,8.2,No Online Multiplayer
Ori and the Blind Forest: Definitive Edition,2016.0,MoonStudios,Action;Platformer;2D,PC,88.0,8.6,No Online Multiplayer
Ori and the Blind Forest: Definitive Edition,2016.0,MoonStudios,Action;Platformer;2D,XboxOne,88.0,7.6,not specified
NieR: Automata,2017.0,PlatinumGames,Role-Playing;Action RPG,PlayStation4,88.0,8.8,No Online Multiplayer
Dishonored 2,2016.0,ArkaneStudios,Action Adventure;General,XboxOne,88.0,7.2,not specified
Rise of the Tomb Raider: 20 Year Celebration,2016.0,"CrystalDynamics,NixxesSoftware",Action Adventure;Linear,PlayStation4,88.0,8.2,2 
Far Cry 3,2012.0,UbisoftMontreal,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,88.0,8.3,Up to 4 
