Title,Year,Platform,Metascore,Avg_Userscore
Stacking,2012.0,PC,80.0,7.9
Age of Wonders III,2014.0,PC,80.0,8.0
Life is Strange: Episode 3 - Chaos Theory,2015.0,PC,80.0,8.9
The Legend of Heroes: Trails in the Sky SC,2015.0,PC,80.0,8.5
inFamous: Second Son,2014.0,PlayStation4,80.0,8.0
Guitar Hero Live,2015.0,PlayStation4,80.0,6.1
Tom Clancy's The Division,2016.0,XboxOne,80.0,6.9
Proteus,2013.0,PC,80.0,5.6
Life is Strange: Before the Storm - Episode 1: Awake,2017.0,PC,80.0,7.9
Candle,2016.0,PC,80.0,7.7
Madden NFL 15,2014.0,XboxOne,80.0,6.3
1979 Revolution: Black Friday,2016.0,PC,80.0,7.7
Ys Seven,2017.0,PC,80.0,7.8
Pinball FX2 VR,2016.0,PlayStation4,80.0,6.7
Cities: Skylines - Natural Disasters,2016.0,PC,80.0,6.1
The Evil Within: The Assignment,2015.0,PlayStation4,80.0,8.7
Wargame: AirLand Battle,2013.0,PC,80.0,8.1
Football Manager 2015,2014.0,PC,80.0,6.1
Tom Clancy's The Division,2016.0,PlayStation4,80.0,7.0
Dead or Alive 5 Plus,2013.0,PlayStationVita,80.0,8.0
Downwell,2016.0,PlayStation4,80.0,7.2
Axiom Verge,2015.0,PC,80.0,8.1
Rabi-Ribi,2017.0,PlayStation4,80.0,7.1
Batman: The Enemy Within - The Telltale Series,2017.0,PC,80.0,6.0
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,2016.0,PlayStation4,80.0,6.6
King's Quest Chapter 1: A Knight to Remember,2015.0,XboxOne,80.0,7.8
Nobunaga's Ambition: Sphere of Influence,2015.0,PlayStation4,80.0,7.5
Game of Thrones: Episode Four - Sons of Winter,2015.0,XboxOne,80.0,7.1
Dungeons & Dragons: Chronicles of Mystara,2013.0,PC,80.0,6.7
Elite: Dangerous,2015.0,XboxOne,80.0,7.2
Gravity Rush Remastered,2016.0,PlayStation4,80.0,8.3
BioShock Infinite: Burial at Sea - Episode Two,2014.0,PC,80.0,8.5
The Walking Dead: Season Two - A Telltale Games Series,2013.0,PC,80.0,8.3
FLY'N,2012.0,PC,80.0,8.1
Total War: Attila,2015.0,PC,80.0,7.4
The Wolf Among Us,2013.0,PC,80.0,8.8
EVERYTHING,2017.0,PlayStation4,80.0,7.1
TowerFall Ascension,2017.0,XboxOne,80.0,6.6
ArcheAge,2014.0,PC,80.0,3.7
Resident Evil: Revelations,2013.0,WiiU,80.0,7.6
Call of Duty: WWII,2017.0,XboxOne,80.0,4.1
SMITE,2015.0,XboxOne,80.0,7.5
World of Tanks,2016.0,PlayStation4,80.0,5.7
Pushmo World,2014.0,WiiU,80.0,8.0
Middle-earth: Shadow of War,2017.0,PlayStation4,80.0,3.8
Zero Escape: Zero Time Dilemma,2017.0,PlayStation4,80.0,7.2
Tales of Berseria,2017.0,PC,80.0,8.0
World of Van Helsing: Deathtrap,2016.0,XboxOne,80.0,6.9
BADLAND: Game of the Year Edition,2015.0,WiiU,80.0,7.5
Ziggurat,2015.0,PlayStation4,80.0,7.0
Forza Motorsport 5,2013.0,XboxOne,79.0,6.0
Dustforce,2012.0,PC,79.0,7.9
Skylanders Imaginators,2016.0,PlayStation4,79.0,5.3
LocoRoco 2 Remastered,2017.0,PlayStation4,79.0,7.2
Wolfenstein: The New Order,2014.0,PlayStation4,79.0,8.1
Fractured Space,2016.0,PC,79.0,7.8
FIFA Soccer,2012.0,PlayStationVita,79.0,7.1
The Magic Circle,2015.0,PC,79.0,7.3
Dungeon of the Endless,2014.0,PC,79.0,7.9
Street Fighter X Tekken,2012.0,PlayStationVita,79.0,7.5
The Metronomicon: Slay the Dance Floor,2017.0,PlayStation4,79.0,7.0
SOMA,2015.0,PlayStation4,79.0,8.2
A Hat in Time,2017.0,PlayStation4,79.0,7.6
Life is Strange: Before the Storm - Episode 2: Brave New World,2017.0,PlayStation4,79.0,8.2
Rock Band 4,2015.0,XboxOne,79.0,6.5
Need for Speed: Most Wanted - A Criterion Game,2012.0,PlayStationVita,79.0,7.6
Stasis,2015.0,PC,79.0,7.6
Splasher,2017.0,PC,79.0,8.0
Steredenn,2016.0,XboxOne,79.0,6.1
The Evil Within,2014.0,XboxOne,79.0,7.3
Warhammer: End Times - Vermintide,2015.0,PC,79.0,7.8
Euro Truck Simulator 2,2013.0,PC,79.0,8.7
South Park: The Fractured But Whole,2017.0,PlayStation4,79.0,7.6
Wilson's Heart,2017.0,PC,79.0,8.3
Shantae and the Pirate's Curse,2016.0,XboxOne,79.0,8.1
Else Heart.Break(),2015.0,PC,79.0,8.3
Cities: Skylines - After Dark,2015.0,PC,79.0,7.8
Jotun,2015.0,PC,79.0,6.9
Wipeout 2048,2012.0,PlayStationVita,79.0,8.2
Skylanders Swap Force,2013.0,PlayStation4,79.0,5.2
Oxenfree,2016.0,PlayStation4,79.0,7.7
Dark Souls II: Scholar of the First Sin,2015.0,PC,79.0,7.4
Prey,2017.0,PlayStation4,79.0,7.8
Valiant Hearts: The Great War,2014.0,PC,79.0,8.6
Payday 2,2013.0,PC,79.0,3.6
Until Dawn,2015.0,PlayStation4,79.0,8.3
Hyper Light Drifter,2016.0,PlayStation4,79.0,7.6
Geometry Wars 3: Dimensions,2014.0,PC,79.0,6.2
LittleBigPlanet 3,2014.0,PlayStation4,79.0,7.2
For Honor,2017.0,XboxOne,79.0,5.9
A Hat in Time,2017.0,PC,79.0,8.5
Sang-Froid: Tales of Werewolves,2013.0,PC,79.0,7.9
The Incredible Adventures of Van Helsing: Final Cut,2015.0,PC,79.0,7.5
Hitman: Absolution,2012.0,PC,79.0,7.1
Jotun: Valhalla Edition,2016.0,WiiU,79.0,6.4
Edge,2013.0,WiiU,79.0,7.5
Alien: Isolation,2014.0,PlayStation4,79.0,8.2
Call of Juarez: Gunslinger,2013.0,PC,79.0,8.2
Hob,2017.0,PlayStation4,79.0,7.1
The Banner Saga,2016.0,PlayStation4,79.0,7.6
Trials Fusion,2014.0,PlayStation4,79.0,7.2
LocoRoco,2017.0,PlayStation4,79.0,7.1
Life is Strange: Before the Storm - Episode 1: Awake,2017.0,XboxOne,79.0,8.3
Killing Floor 2,2017.0,XboxOne,79.0,6.5
NieR: Automata - 3C3C1D119440927,2017.0,PlayStation4,79.0,7.2
Fallout 4: Far Harbor,2016.0,PC,79.0,6.6
King's Quest Chapter 3: Once Upon a Climb,2016.0,PlayStation4,79.0,6.9
Goetia,2016.0,PC,79.0,7.6
Dying Light: The Following,2016.0,PC,79.0,8.3
Tom Clancy's The Division,2016.0,PC,79.0,6.0
Resident Evil 4: Ultimate HD Edition,2014.0,PC,79.0,8.1
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,PlayStation4,79.0,8.1
Retro City Rampage,2012.0,PlayStationVita,79.0,7.8
Rock of Ages 2: Bigger & Boulder,2017.0,PlayStation4,79.0,7.4
Kelvin and the Infamous Machine,2016.0,PC,79.0,7.9
OlliOlli,2014.0,PlayStationVita,79.0,8.0
Sid Meier's Civilization: Beyond Earth - Rising Tide,2015.0,PC,79.0,6.0
Memoria,2013.0,PC,79.0,8.2
The Last Door,2014.0,PC,79.0,7.7
Shooty Fruity,2017.0,PlayStation4,79.0,5.9
The Inner World: The Last Wind Monk,2017.0,PC,79.0,7.3
Cat Quest,2017.0,PC,79.0,7.9
Teslagrad,2014.0,WiiU,79.0,8.1
ECHO,2017.0,PlayStation4,79.0,7.1
Hitman - Episode 2: Sapienza,2016.0,XboxOne,79.0,6.5
SMITE,2016.0,PlayStation4,79.0,6.9
Wolfenstein: The New Order,2014.0,XboxOne,79.0,7.8
Pillars of Eternity: The White March - Part 2,2016.0,PC,79.0,7.1
Little Inferno,2012.0,WiiU,79.0,7.5
Driveclub Bikes,2015.0,PlayStation4,79.0,7.6
Trackmania Turbo,2016.0,PC,79.0,7.0
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,2015.0,PC,79.0,8.4
Battle Chasers: Nightwar,2017.0,PC,79.0,7.6
Nioh: Defiant Honor,2017.0,PlayStation4,79.0,6.6
The King of Fighters XIV,2016.0,PlayStation4,79.0,8.3
Tales of Berseria,2017.0,PlayStation4,79.0,7.9
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,2016.0,PlayStationVita,79.0,8.0
Race the Sun,2013.0,PC,79.0,7.3
Hitman - Episode 3: Marrakesh,2016.0,PC,79.0,5.7
Pac-Man 256,2016.0,PlayStation4,79.0,7.1
Alienation,2016.0,PlayStation4,79.0,7.8
Zwei: The Ilvard Insurrection,2017.0,PC,79.0,8.2
Torment: Tides of Numenera,2017.0,XboxOne,79.0,6.7
Hand of Fate,2015.0,PlayStation4,79.0,7.5
Stick it to the Man!,2013.0,PC,79.0,7.3
Street Fighter X Tekken,2012.0,PC,79.0,6.3
Frozen Cortex,2015.0,PC,79.0,6.5
Tacoma,2017.0,XboxOne,79.0,6.6
Halo Wars 2,2017.0,XboxOne,79.0,6.0
Anarcute,2016.0,PC,79.0,7.6
Homeworld: Deserts of Kharak,2016.0,PC,79.0,8.0
Don't Starve,2013.0,PC,79.0,8.3
Hue,2016.0,PC,79.0,7.6
Assault Android Cactus,2015.0,PC,79.0,7.0
Pro Evolution Soccer 2015,2014.0,XboxOne,79.0,7.0
Heat Signature,2017.0,PC,79.0,8.3
Chivalry: Medieval Warfare,2012.0,PC,79.0,7.8
Wonder Boy: The Dragon's Trap,2017.0,PlayStation4,79.0,7.6
Hearthstone: Journey to Un'Goro,2017.0,PC,79.0,4.4
Scram Kitty and His Buddy on Rails,2014.0,WiiU,79.0,7.7
Atelier Rorona Plus: The Alchemist of Arland,2014.0,PlayStationVita,79.0,7.9
The Metronomicon,2016.0,PC,79.0,7.1
The Book of Unwritten Tales 2,2015.0,XboxOne,79.0,6.9
Tom Clancy's Rainbow Six Siege,2015.0,PC,79.0,7.1
Mantis Burn Racing,2016.0,XboxOne,79.0,7.4
EVERSPACE,2017.0,PC,79.0,7.5
Dark Souls II: Crown of the Old Iron King,2014.0,PC,79.0,7.6
TrackMania 2 Valley,2013.0,PC,79.0,8.1
State of Decay,2013.0,PC,79.0,6.9
EA Sports UFC 2,2016.0,PlayStation4,79.0,5.7
Call of Duty: WWII,2017.0,PlayStation4,79.0,4.2
Noitu Love: Devolution,2016.0,WiiU,79.0,7.2
Extreme Exorcism,2015.0,WiiU,79.0,6.5
CastleStorm,2013.0,PlayStationVita,79.0,7.4
Rift: Storm Legion,2012.0,PC,79.0,7.8
Shadow Warrior 2,2016.0,PC,78.0,8.2
Apotheon,2015.0,PC,78.0,7.8
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,2016.0,XboxOne,78.0,6.3
Need for Speed: Most Wanted - A Criterion Game,2012.0,PC,78.0,4.4
The Walking Dead: Season Two Episode 1 - All That Remains,2013.0,PC,78.0,8.5
DG2: Defense Grid 2,2014.0,XboxOne,78.0,7.0
The Journey Down: Chapter Two,2014.0,PC,78.0,7.1
Muramasa Rebirth,2013.0,PlayStationVita,78.0,8.4
Pinball FX3,2017.0,PlayStation4,78.0,5.3
The Lion's Song,2016.0,PC,78.0,7.9
This War of Mine: The Little Ones,2016.0,XboxOne,78.0,7.8
Xanadu Next,2016.0,PC,78.0,7.9
Obliteracers,2016.0,PC,78.0,7.7
ZEN Pinball 2: Balls of Glory,2015.0,PlayStation4,78.0,6.2
Layers of Fear,2016.0,XboxOne,78.0,7.3
Baldur's Gate: Enhanced Edition,2012.0,PC,78.0,6.6
DeathSmiles,2016.0,PC,78.0,7.9
NHL 17,2016.0,PlayStation4,78.0,5.6
The Sims 4: City Living,2016.0,PC,78.0,5.8
Doki Doki Literature Club!,2017.0,PC,78.0,8.4
Fallout 4 VR,2017.0,PC,78.0,5.1
Transformers: Fall of Cybertron,2012.0,PC,78.0,7.9
Vanquish,2017.0,PC,78.0,9.1
Yoshi's Woolly World,2015.0,WiiU,78.0,8.5
Stellaris,2016.0,PC,78.0,8.0
Super Rude Bear Resurrection,2017.0,PlayStation4,78.0,2.8
King's Quest Chapter 5: The Good Knight,2016.0,PlayStation4,78.0,5.1
Hatsune Miku: Project Diva X,2016.0,PlayStation4,78.0,7.3
DeadCore,2013.0,PC,78.0,6.8
The Walking Dead: Season Two Episode 5 - No Going Back,2014.0,PC,78.0,8.5
Overcooked!,2016.0,PlayStation4,78.0,7.7
Grand Kingdom,2016.0,PlayStation4,78.0,7.6
Wuppo,2016.0,PC,78.0,8.4
For Honor,2017.0,PlayStation4,78.0,6.1
The Disney Afternoon Collection,2017.0,PC,78.0,6.1
MotorStorm RC,2012.0,PlayStationVita,78.0,6.8
Teleglitch: Die More Edition,2013.0,PC,78.0,7.0
Zero Escape: Zero Time Dilemma,2016.0,PC,78.0,8.3
LEGO Marvel Super Heroes,2013.0,PC,78.0,8.2
Observer,2017.0,PC,78.0,7.8
1001 Spikes,2014.0,PlayStation4,78.0,6.6
Skylanders Imaginators,2016.0,XboxOne,78.0,5.5
Ken Follett's The Pillars of the Earth,2017.0,PC,78.0,7.8
Shadow Warrior 2,2017.0,XboxOne,78.0,6.6
Swords & Soldiers HD,2014.0,WiiU,78.0,6.3
LEGO Star Wars: The Force Awakens,2016.0,PlayStation4,78.0,7.6
Dungeon of the Endless,2016.0,XboxOne,78.0,5.7
Unravel,2016.0,PlayStation4,78.0,8.2
Blackwood Crossing,2017.0,XboxOne,78.0,7.0
Candleman,2017.0,XboxOne,78.0,6.9
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,2016.0,XboxOne,78.0,6.2
Mary Skelter: Nightmares,2017.0,PlayStationVita,78.0,8.7
Stealth Inc: A Clone in the Dark,2013.0,PlayStationVita,78.0,8.0
Forma.8,2017.0,PlayStation4,78.0,5.1
Sniper Elite 4,2017.0,PC,78.0,7.1
Chaos on Deponia,2012.0,PC,78.0,8.3
"That Dragon, Cancer",2016.0,PC,78.0,6.1
Human Resource Machine,2015.0,PC,78.0,8.2
Adventures of Pip,2015.0,WiiU,78.0,7.7
LISA,2014.0,PC,78.0,8.7
OlliOlli,2014.0,PC,78.0,6.7
Strider,2014.0,PC,78.0,7.5
Dead Space 3,2013.0,PC,78.0,6.1
The Wonderful 101,2013.0,WiiU,78.0,8.6
NHL 16,2015.0,PlayStation4,78.0,5.5
Rock Band 4,2015.0,PlayStation4,78.0,6.3
Dragon's Dogma: Dark Arisen,2017.0,PlayStation4,78.0,8.3
Mushroom 11,2015.0,PC,78.0,7.2
Killzone: Mercenary,2013.0,PlayStationVita,78.0,8.9
Tropico 4: Modern Times,2012.0,PC,78.0,7.9
Don't Starve: Console Edition,2014.0,PlayStation4,78.0,7.1
Ken Follett's The Pillars of the Earth,2017.0,XboxOne,78.0,7.0
Super Cloudbuilt,2017.0,PlayStation4,78.0,6.6
Hand of Fate,2015.0,PC,78.0,7.8
Heavy Rain & Beyond: Two Souls Collection,2016.0,PlayStation4,78.0,8.4
RIGS: Mechanized Combat League,2016.0,PlayStation4,78.0,7.6
DiRT 4,2017.0,PC,78.0,5.8
Marvel's Guardians of the Galaxy: The Telltale Series,2017.0,PC,78.0,7.3
Avernum 2: Crystal Souls,2015.0,PC,78.0,8.3
Watch Dogs,2014.0,XboxOne,78.0,5.9
Elemental: Fallen Enchantress,2012.0,PC,78.0,7.3
Heavy Rain,2016.0,PlayStation4,78.0,7.9
Electronic Super Joy,2015.0,WiiU,78.0,6.8
So Many Me,2014.0,PC,78.0,7.1
Baldur's Gate II: Enhanced Edition,2013.0,PC,78.0,7.3
Sonic & All-Stars Racing Transformed,2012.0,WiiU,78.0,8.0
Fallout 4: Far Harbor,2016.0,XboxOne,78.0,6.4
Skylanders Trap Team,2014.0,XboxOne,78.0,7.1
Disgaea 3: Absence of Detention,2012.0,PlayStationVita,78.0,7.6
GRID Autosport,2014.0,PC,78.0,6.3
Disney Infinity 3.0 Edition,2015.0,XboxOne,78.0,5.7
Call of Duty: Ghosts,2013.0,XboxOne,78.0,4.3
The Walking Dead: Season Two Episode 4 - Amid the Ruins,2014.0,PC,78.0,8.1
Assassin's Creed Syndicate,2015.0,XboxOne,78.0,6.2
Hearthstone: Curse of Naxxramas,2014.0,PC,78.0,6.5
Worms W.M.D,2016.0,PlayStation4,78.0,7.1
Oreshika: Tainted Bloodlines,2015.0,PlayStationVita,78.0,8.0
Darknet,2017.0,PlayStation4,78.0,4.6
Amnesia Collection,2016.0,PlayStation4,78.0,7.3
Life is Strange: Episode 2 - Out of Time,2015.0,PlayStation4,78.0,8.3
Skylanders Trap Team,2014.0,PlayStation4,78.0,5.5
Call of Duty: Ghosts,2013.0,PlayStation4,78.0,3.8
The Banner Saga 2,2016.0,PlayStation4,78.0,7.5
Plants vs Zombies: Garden Warfare,2014.0,PC,78.0,7.8
Melty Blood: Actress Again Current Code,2016.0,PC,78.0,8.2
Thomas Was Alone,2013.0,PlayStationVita,78.0,6.7
Little Nightmares,2017.0,PlayStation4,78.0,7.9
PlanetSide 2,2015.0,PlayStation4,78.0,7.1
Offworld Trading Company,2016.0,PC,78.0,7.3
Atelier Shallie Plus: Alchemists of the Dusk Sea,2017.0,PlayStationVita,78.0,7.7
Wargame: Red Dragon,2014.0,PC,78.0,8.0
This War of Mine: The Little Ones,2016.0,PlayStation4,78.0,7.5
Samurai Gunn,2013.0,PC,78.0,7.8
The Walking Dead: 400 Days,2013.0,PC,78.0,7.6
Fortnite,2017.0,PlayStation4,78.0,4.2
Oxenfree,2016.0,XboxOne,78.0,7.3
Dead Rising 3,2013.0,XboxOne,78.0,6.9
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,2015.0,PlayStation4,78.0,7.7
RiME,2017.0,PC,78.0,6.9
Hue,2016.0,XboxOne,78.0,7.2
Deadlight,2012.0,PC,78.0,7.4
Galak-Z: The Dimensional,2015.0,PC,78.0,6.3
Star Trek: Bridge Crew,2017.0,PC,78.0,7.6
ABZU,2016.0,PlayStation4,78.0,7.6
Bad Apple Wars,2017.0,PlayStationVita,78.0,7.6
Toki Tori 2 +,2016.0,PlayStation4,78.0,5.6
Joe Dever's Lone Wolf HD Remastered,2014.0,PC,78.0,6.9
Life is Strange: Before the Storm - Episode 1: Awake,2017.0,PlayStation4,78.0,7.7
Call of Duty: Infinite Warfare,2016.0,XboxOne,78.0,3.5
Vaporum,2017.0,PC,78.0,6.9
AR-K Episode 3: The Great Escape,2015.0,PC,78.0,8.2
Tales From The Borderlands: Episode 2 - Atlas Mugged,2015.0,PC,78.0,8.7
The Count Lucanor,2016.0,PC,78.0,7.7
Five Nights at Freddy's,2014.0,PC,78.0,7.1
Outlast,2014.0,PlayStation4,78.0,7.8
Pac-Man Championship Edition 2,2016.0,PC,78.0,6.6
Call of Duty: Black Ops III - Zombies Chronicles,2017.0,PlayStation4,78.0,6.1
Crashlands,2016.0,PC,78.0,8.2
Everybody's Gone to the Rapture,2015.0,PlayStation4,78.0,6.5
Everybody's Golf,2017.0,PlayStation4,78.0,7.7
Shadows of Adam,2017.0,PC,78.0,8.2
Flywrench,2017.0,PlayStation4,78.0,3.5
Dungelot: Shattered Lands,2016.0,PC,78.0,6.8
Dying Light: The Following,2016.0,PlayStation4,78.0,7.9
Teslagrad,2015.0,PlayStation4,78.0,6.7
Battlefield 3: End Game,2013.0,PC,78.0,7.3
Deathtrap,2015.0,PC,77.0,8.0
Yomawari: Midnight Shadows,2017.0,PlayStation4,77.0,6.7
Republique: Episode 1 - Exordium,2015.0,PC,77.0,7.5
Nintendo Land,2012.0,WiiU,77.0,7.9
Elite: Dangerous,2017.0,PlayStation4,77.0,7.2
Puddle,2012.0,PlayStationVita,77.0,5.5
Game of Thrones: Episode One - Iron From Ice,2014.0,PlayStation4,77.0,7.3
Reigns,2016.0,PC,77.0,7.5
The Inner World,2017.0,XboxOne,77.0,2.4
Linelight,2017.0,PlayStation4,77.0,5.5
Letter Quest: Grimm's Journey Remastered,2016.0,XboxOne,77.0,6.4
Bridge Constructor Portal,2017.0,PC,77.0,6.5
Sherlock Holmes: Crimes & Punishments,2014.0,PC,77.0,7.8
Life Goes On: Done to Death,2016.0,PlayStation4,77.0,6.8
Proteus,2013.0,PlayStationVita,77.0,6.3
Far Cry Primal,2016.0,XboxOne,77.0,6.4
Sky Force Anniversary,2016.0,XboxOne,77.0,5.2
Aven Colony,2017.0,XboxOne,77.0,7.0
Ultimate Marvel vs. Capcom 3,2016.0,PlayStation4,77.0,6.8
Life is Strange: Before the Storm - Episode 3: Hell is Empty,2017.0,PlayStation4,77.0,7.7
Pac-Man Championship Edition 2,2016.0,PlayStation4,77.0,7.3
Street Fighter V,2016.0,PlayStation4,77.0,3.6
Minecraft: Wii U Edition,2015.0,WiiU,77.0,7.4
F1 2013,2013.0,PC,77.0,6.4
Expeditions: Conquistador,2013.0,PC,77.0,8.2
Life is Strange: Episode 1 - Chrysalis,2015.0,PC,77.0,8.6
Wasteland 2: Director's Cut,2015.0,XboxOne,77.0,7.0
Shu,2016.0,PlayStation4,77.0,6.4
RUSH,2013.0,WiiU,77.0,7.5
LEGO Batman 2: DC Super Heroes,2013.0,WiiU,77.0,7.3
Virginia,2016.0,PlayStation4,77.0,5.9
Giana Sisters: Twisted Dreams,2012.0,PC,77.0,7.8
The Elder Scrolls Online: Morrowind,2017.0,PC,77.0,6.4
Figment,2017.0,PC,77.0,7.2
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,2015.0,PlayStation4,77.0,7.6
The Elder Scrolls Online: Tamriel Unlimited,2015.0,XboxOne,77.0,8.4
LEGO City Undercover,2017.0,XboxOne,77.0,7.0
Baldur's Gate: Siege of Dragonspear,2016.0,PC,77.0,3.6
Kerbal Space Program,2016.0,PlayStation4,77.0,6.2
Life is Strange: Before the Storm,2017.0,PlayStation4,77.0,7.9
The Escapists 2,2017.0,XboxOne,77.0,5.8
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto Expansion,2017.0,XboxOne,77.0,7.1
Furi,2016.0,XboxOne,77.0,7.6
Element4l,2013.0,PC,77.0,7.7
Anomaly 2,2013.0,PC,77.0,7.9
Outlast 2,2017.0,XboxOne,77.0,6.5
Valiant Hearts: The Great War,2014.0,PlayStation4,77.0,8.4
