Title,Year,Platform,Metascore,Avg_Userscore
Night in the Woods,2017.0,PlayStation4,87.0,7.2
Crypt of the NecroDancer,2015.0,PC,87.0,7.8
The Swapper,2013.0,PC,87.0,8.7
Year Walk,2014.0,PC,87.0,7.0
Batman: Arkham Knight,2015.0,PlayStation4,87.0,7.8
Mario Kart 8 DLC Pack 1,2014.0,WiiU,87.0,9.0
Max Payne 3,2012.0,PC,87.0,7.7
Okami HD,2017.0,PlayStation4,87.0,8.3
TowerFall Ascension,2014.0,PC,87.0,6.7
Hollow Knight,2017.0,PC,87.0,8.8
Rayman Legends,2013.0,PlayStationVita,87.0,8.4
Battlefield 3: Armored Kill,2012.0,PC,87.0,7.1
Forza Motorsport 6,2015.0,XboxOne,87.0,7.7
The Witness,2016.0,PC,87.0,6.9
TowerFall Ascension,2014.0,PlayStation4,87.0,7.0
Tearaway,2013.0,PlayStationVita,87.0,8.9
Skylanders SuperChargers,2015.0,WiiU,87.0,5.7
Rocket League,2016.0,XboxOne,87.0,8.3
FIFA 14,2013.0,PlayStation4,87.0,6.3
SteamWorld Heist,2016.0,WiiU,87.0,7.9
Raw Data,2017.0,PC,87.0,6.6
Wolfenstein II: The New Colossus,2017.0,PlayStation4,87.0,7.5
Diablo III: Reaper of Souls,2014.0,PC,87.0,6.6
Pro Evolution Soccer 2017,2016.0,XboxOne,87.0,6.0
Pro Evolution Soccer 2016,2015.0,PlayStation4,87.0,7.2
Titanfall 2,2016.0,XboxOne,87.0,8.2
Zero Escape: The Nonary Games,2017.0,PlayStation4,87.0,8.0
Odin Sphere Leifthrasir,2016.0,PlayStation4,87.0,8.3
Divinity: Original Sin,2014.0,PC,87.0,8.7
Destiny 2,2017.0,XboxOne,87.0,4.2
Forza Horizon 3: Blizzard Mountain,2016.0,XboxOne,87.0,7.6
Dark Souls II: Scholar of the First Sin,2015.0,PlayStation4,87.0,8.0
INSIDE,2016.0,PC,87.0,8.6
Europa Universalis IV,2013.0,PC,87.0,8.7
XCOM 2,2016.0,XboxOne,87.0,7.6
NBA 2K16,2015.0,PlayStation4,87.0,6.7
Pikmin 3,2013.0,WiiU,87.0,8.7
Velocity Ultra,2013.0,PlayStationVita,87.0,7.9
Total War: WARHAMMER II,2017.0,PC,87.0,7.5
Forza Horizon 3: Hot Wheels,2017.0,XboxOne,87.0,7.4
Hex: Shards of Fate,2016.0,PC,87.0,6.4
World of Warcraft: Warlords of Draenor,2014.0,PC,87.0,6.0
