Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Dynasty Warriors: Gundam Reborn,PlayStationVita,2013.0,0.0,0.0,0.13,0.0,0.13
Operation Abyss: New Tokyo Legacy,PlayStationVita,2014.0,0.04,0.01,0.06,0.02,0.13
Battleborn,XboxOne,2016.0,0.08,0.04,0.0,0.01,0.13
Marvel Avengers: Battle for Earth,WiiU,2012.0,0.07,0.04,0.0,0.01,0.12
Sleeping Dogs,PC,2012.0,0.06,0.05,0.0,0.02,0.12
Kidou Senshi Gundam Seed Battle Destiny,PlayStationVita,2012.0,0.0,0.0,0.12,0.0,0.12
Homefront: The Revolution,XboxOne,2016.0,0.05,0.07,0.0,0.01,0.12
One Piece: Pirate Warriors 2,PlayStationVita,2013.0,0.0,0.0,0.12,0.0,0.12
Rocket League,XboxOne,2016.0,0.03,0.09,0.0,0.01,0.12
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013.0,0.05,0.07,0.0,0.01,0.12
Angry Birds Star Wars,PlayStationVita,2013.0,0.05,0.04,0.0,0.03,0.12
Final Fantasy XIV: Heavensward,PlayStation4,2015.0,0.0,0.05,0.06,0.01,0.12
Dragon Ball Z: Battle of Z,PlayStationVita,2014.0,0.0,0.04,0.06,0.02,0.12
Gundam Breaker 3,PlayStationVita,2016.0,0.0,0.0,0.12,0.0,0.12
7 Days to Die,PlayStation4,2016.0,0.03,0.07,0.0,0.02,0.12
Deus Ex: Human Revolution,WiiU,2013.0,0.06,0.05,0.0,0.01,0.12
ArmA III,PC,2013.0,0.0,0.1,0.0,0.02,0.12
Hatsune Miku: Project Diva X,PlayStationVita,2016.0,0.01,0.0,0.1,0.0,0.12
Assassin's Creed Chronicles,PlayStationVita,2016.0,0.02,0.06,0.01,0.02,0.12
Tropico 5,PC,2014.0,0.02,0.08,0.0,0.01,0.12
Rodea the Sky Soldier,WiiU,2015.0,0.08,0.02,0.01,0.01,0.12
Jikkyou Powerful Pro Yakyuu 2014,PlayStationVita,2014.0,0.0,0.0,0.12,0.0,0.12
Don Bradman Cricket 14,PlayStation4,2015.0,0.01,0.09,0.0,0.02,0.12
MegaTagmension Blanc + Neptune VS Zombies,PlayStationVita,2015.0,0.02,0.03,0.05,0.01,0.12
The Walking Dead: Survival Instinct,WiiU,2013.0,0.08,0.03,0.0,0.01,0.12
Love Live! School Idol Paradise,PlayStationVita,2014.0,0.0,0.0,0.12,0.0,0.12
Makai Shin Trillion,PlayStationVita,2014.0,0.02,0.02,0.06,0.01,0.12
Tokyo Twilight Ghost Hunters,PlayStationVita,2014.0,0.06,0.01,0.02,0.02,0.12
Deadpool,XboxOne,2015.0,0.08,0.03,0.0,0.01,0.12
Hyperdimension Neptunia Re;Birth 3,PlayStationVita,2014.0,0.07,0.01,0.0,0.03,0.12
Sword Art Online: Hollow Fragment,PlayStation4,2015.0,0.0,0.1,0.0,0.02,0.12
Dead Island Definitive Collection,PlayStation4,2016.0,0.02,0.07,0.01,0.02,0.12
Tony Hawk's Pro Skater 5,XboxOne,2015.0,0.08,0.02,0.0,0.01,0.11
DiRT Rally,XboxOne,2016.0,0.03,0.08,0.0,0.01,0.11
Life is Strange,XboxOne,2016.0,0.08,0.02,0.0,0.01,0.11
Taiko Drum Master: Tokumori!,WiiU,2014.0,0.0,0.0,0.11,0.0,0.11
Pro Evolution Soccer 2014,PC,2013.0,0.0,0.09,0.0,0.02,0.11
Fatal Frame: Maiden of Black Water,WiiU,2014.0,0.0,0.03,0.08,0.0,0.11
Akiba's Trip: Undead & Undressed,PlayStation4,2014.0,0.08,0.0,0.01,0.02,0.11
Samurai Warriors 4-II,PlayStation4,2015.0,0.03,0.02,0.06,0.01,0.11
Criminal Girls: Invite Only,PlayStationVita,2013.0,0.04,0.02,0.04,0.02,0.11
Project CARS,PC,2015.0,0.0,0.1,0.0,0.01,0.11
Thief (2014),PC,2014.0,0.0,0.09,0.0,0.02,0.11
Samurai Warriors 4,PlayStationVita,2014.0,0.0,0.0,0.11,0.0,0.11
Terraria,PlayStationVita,2013.0,0.0,0.01,0.09,0.0,0.11
One Piece: Burning Blood,PlayStationVita,2016.0,0.0,0.03,0.07,0.01,0.11
Digimon Story: Cyber Sleuth,PlayStation4,2016.0,0.0,0.09,0.0,0.02,0.11
Rugby 15,PlayStation4,2015.0,0.03,0.06,0.0,0.02,0.11
Angry Birds Star Wars,WiiU,2013.0,0.06,0.04,0.0,0.01,0.11
Transformer: Rise of the Dark Spark,XboxOne,2014.0,0.06,0.03,0.0,0.01,0.11
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013.0,0.1,0.0,0.0,0.01,0.11
BlazBlue: Chrono Phantasma,PlayStationVita,2014.0,0.06,0.0,0.03,0.02,0.11
Toukiden 2,PlayStationVita,2016.0,0.0,0.0,0.11,0.0,0.11
Earth Defense Force 2: Invaders from Planet Space,PlayStationVita,2014.0,0.04,0.01,0.04,0.02,0.11
Shovel Knight,WiiU,2015.0,0.06,0.04,0.0,0.01,0.11
Child of Light,PlayStationVita,2014.0,0.0,0.07,0.02,0.02,0.11
Taiko no Tatsujin: V Version,PlayStationVita,2015.0,0.0,0.0,0.1,0.0,0.1
Zombie Army Trilogy,XboxOne,2015.0,0.04,0.05,0.0,0.01,0.1
God Eater 2: Rage Burst,PlayStation4,2015.0,0.0,0.01,0.09,0.0,0.1
Pro Evolution Soccer 2016,XboxOne,2015.0,0.03,0.06,0.0,0.01,0.1
Wasteland 2,PlayStation4,2015.0,0.07,0.0,0.01,0.02,0.1
Total War: WARHAMMER,PC,2016.0,0.0,0.1,0.0,0.01,0.1
[Prototype 2],PC,2012.0,0.07,0.02,0.0,0.01,0.1
NBA Live 16,XboxOne,2015.0,0.08,0.01,0.0,0.01,0.1
Atelier Sophie: The Alchemist of the Mysterious Book,PlayStation4,2015.0,0.01,0.02,0.06,0.01,0.1
Earth Defense Force 2025.1: The Shadow of New Despair,PlayStation4,2015.0,0.0,0.0,0.1,0.0,0.1
Tales of Innocence R,PlayStationVita,2012.0,0.0,0.0,0.1,0.0,0.1
F1 2014,PC,2014.0,0.0,0.09,0.0,0.01,0.1
Fate/hollow ataraxia,PlayStationVita,2014.0,0.0,0.0,0.1,0.0,0.1
Ride,XboxOne,2015.0,0.04,0.05,0.0,0.01,0.1
Ultra Street Fighter IV,PlayStation4,2015.0,0.0,0.08,0.0,0.01,0.1
Rise of the Tomb Raider,PC,2016.0,0.0,0.09,0.0,0.01,0.1
Resident Evil: Revelations 2,XboxOne,2015.0,0.07,0.02,0.0,0.01,0.1
Wasteland 2,PC,2015.0,0.02,0.06,0.0,0.01,0.1
Jikkyou Powerful Pro Yakyuu 2013,PlayStationVita,2013.0,0.0,0.0,0.1,0.0,0.1
Dead or Alive 5,PlayStationVita,2013.0,0.0,0.05,0.03,0.02,0.1
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PlayStationVita,2012.0,0.0,0.0,0.1,0.0,0.1
Natural Doctrine,PlayStation4,2014.0,0.05,0.02,0.02,0.01,0.1
ReCore,XboxOne,2016.0,0.06,0.03,0.0,0.01,0.1
Gundam Breaker,PlayStationVita,2013.0,0.0,0.0,0.09,0.0,0.09
Risen 3: Titan Lords,PC,2014.0,0.0,0.08,0.0,0.01,0.09
Gundam Breaker 3,PlayStation4,2016.0,0.0,0.0,0.09,0.0,0.09
The King of Fighters XIV,PlayStation4,2016.0,0.04,0.01,0.03,0.01,0.09
The Voice,WiiU,2014.0,0.08,0.0,0.0,0.01,0.09
Digimon World: Next Order,PlayStationVita,2016.0,0.0,0.0,0.09,0.0,0.09
The Amazing Spider-Man (Console Version),WiiU,2013.0,0.05,0.03,0.0,0.01,0.09
The Crew: Wild Run,PlayStation4,2015.0,0.0,0.08,0.0,0.01,0.09
Devil May Cry 4,PlayStation4,2015.0,0.01,0.0,0.08,0.0,0.09
Lego Star Wars: The Force Awakens,PlayStationVita,2016.0,0.02,0.05,0.0,0.02,0.09
Girls und Panzer: I Will Master Tankery,PlayStationVita,2014.0,0.0,0.0,0.09,0.0,0.09
NBA 2K16,PC,2015.0,0.02,0.06,0.0,0.01,0.09
The Idolmaster: Platinum Stars,PlayStation4,2016.0,0.0,0.0,0.09,0.0,0.09
Supremacy MMA,PlayStationVita,2012.0,0.02,0.05,0.0,0.02,0.09
How to Train Your Dragon 2,WiiU,2014.0,0.04,0.05,0.0,0.01,0.09
Super Robot Wars OG: The Moon Dwellers,PlayStation4,2016.0,0.0,0.0,0.09,0.0,0.09
Samurai Warriors 4: Empires,PlayStation4,2015.0,0.02,0.01,0.05,0.01,0.09
Atelier Totori: The Adventurer of Arland,PlayStationVita,2012.0,0.0,0.0,0.09,0.0,0.09
Hyperdimension Neptunia Re;Birth 2,PlayStationVita,2014.0,0.05,0.02,0.0,0.02,0.09
Jikkyou Powerful Pro Yakyuu 2012,PlayStationVita,2012.0,0.0,0.0,0.09,0.0,0.09
F1 2016 (Codemasters),XboxOne,2016.0,0.01,0.07,0.0,0.01,0.09
The Smurfs 2,WiiU,2013.0,0.04,0.04,0.0,0.01,0.09
Lego Star Wars: The Force Awakens,WiiU,2016.0,0.04,0.04,0.0,0.01,0.09
Adventure Time: Finn & Jake Investigations,PlayStation4,2015.0,0.03,0.04,0.0,0.01,0.09
Might & Magic Heroes VII,PC,2015.0,0.0,0.08,0.0,0.0,0.09
Pro Evolution Soccer 2013,PC,2012.0,0.0,0.07,0.0,0.01,0.09
Just Dance Wii U,WiiU,2014.0,0.0,0.0,0.09,0.0,0.09
Rugby 15,XboxOne,2015.0,0.03,0.05,0.0,0.01,0.09
Ys VIII: Lacrimosa of Dana,PlayStationVita,2016.0,0.0,0.0,0.09,0.0,0.09
Natural Doctrine,PlayStationVita,2014.0,0.03,0.02,0.03,0.01,0.08
Lara Croft and the Temple of Osiris,PlayStation4,2014.0,0.0,0.07,0.0,0.01,0.08
Arslan: The Warriors of Legend,PlayStation4,2015.0,0.02,0.01,0.04,0.01,0.08
Dead or Alive 5,XboxOne,2015.0,0.04,0.03,0.01,0.01,0.08
Sniper: Ghost Warrior 2,PC,2013.0,0.02,0.05,0.0,0.01,0.08
Warriors Orochi 3 Hyper,WiiU,2012.0,0.04,0.02,0.02,0.01,0.08
X Rebirth,PC,2013.0,0.0,0.08,0.0,0.01,0.08
Game of Thrones,PC,2012.0,0.0,0.07,0.0,0.01,0.08
God Eater Resurrection,PlayStation4,2015.0,0.0,0.0,0.08,0.0,0.08
Toukiden 2,PlayStation4,2016.0,0.0,0.0,0.08,0.0,0.08
Wolfenstein: The Old Blood,PC,2015.0,0.0,0.08,0.0,0.0,0.08
The Witch and the Hundred Knight,PlayStation4,2015.0,0.02,0.01,0.05,0.01,0.08
MXGP 2,PlayStation4,2016.0,0.02,0.05,0.0,0.01,0.08
Gekijouban Madoka Magicka: The Battle Pentagram,PlayStationVita,2013.0,0.0,0.0,0.08,0.0,0.08
Sherlock Holmes: Crimes & Punishments,XboxOne,2014.0,0.03,0.04,0.0,0.01,0.08
Looney Tunes: Galactic Sports,PlayStationVita,2015.0,0.0,0.06,0.0,0.02,0.08
BioShock The Collection,XboxOne,2016.0,0.03,0.04,0.0,0.01,0.08
Just Dance: Disney Party 2,WiiU,2015.0,0.06,0.01,0.0,0.01,0.08
Valkyrie Drive: Bhikkhuni,PlayStationVita,2015.0,0.0,0.01,0.07,0.0,0.08
Assassin's Creed Chronicles,PlayStation4,2016.0,0.01,0.05,0.01,0.01,0.08
Minecraft: Story Mode,PC,2015.0,0.02,0.05,0.0,0.01,0.08
The Golf Club,PlayStation4,2014.0,0.05,0.02,0.0,0.01,0.08
Rayman Origins,PC,2012.0,0.0,0.06,0.0,0.01,0.08
Dragon's Dogma Online,PlayStation4,2015.0,0.0,0.0,0.08,0.0,0.08
Need for Speed: Most Wanted,PC,2012.0,0.0,0.06,0.0,0.02,0.08
Genkai Totsuki Moero Chronicle,PlayStationVita,2014.0,0.0,0.0,0.08,0.0,0.08
Metal Gear Solid V: The Phantom Pain,PC,2015.0,0.0,0.07,0.0,0.0,0.08
WRC 5: FIA World Rally Championship,PlayStationVita,2015.0,0.0,0.06,0.0,0.02,0.08
Shovel Knight,PlayStation4,2015.0,0.03,0.03,0.0,0.01,0.08
Yoru no Nai Kuni,PlayStation4,2015.0,0.0,0.0,0.08,0.0,0.08
Mega Man Legacy Collection,PlayStation4,2016.0,0.06,0.0,0.0,0.01,0.07
AKB1/149: Love Election,PlayStationVita,2012.0,0.0,0.0,0.07,0.0,0.07
Yoru no Nai Kuni,PlayStationVita,2015.0,0.0,0.0,0.07,0.0,0.07
Warriors Orochi 3,PlayStationVita,2013.0,0.0,0.0,0.07,0.0,0.07
PhotoKano,PlayStationVita,2013.0,0.0,0.0,0.07,0.0,0.07
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PlayStationVita,2013.0,0.0,0.0,0.07,0.0,0.07
Resident Evil Zero,XboxOne,2016.0,0.05,0.02,0.0,0.01,0.07
Goodbye Deponia,PC,2013.0,0.0,0.06,0.0,0.01,0.07
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PlayStation4,2016.0,0.04,0.02,0.0,0.01,0.07
Utawarerumono: Itsuwari no Kamen,PlayStationVita,2015.0,0.0,0.0,0.07,0.0,0.07
The Wolf Among Us,XboxOne,2014.0,0.05,0.02,0.0,0.01,0.07
Invizimals: The Alliance,PlayStationVita,2013.0,0.0,0.05,0.0,0.02,0.07
Dark Souls,PC,2012.0,0.0,0.06,0.0,0.01,0.07
Guilty Gear Xrd -Revelator-,PlayStation4,2016.0,0.02,0.0,0.05,0.0,0.07
Grand Kingdom,PlayStationVita,2015.0,0.01,0.02,0.04,0.01,0.07
The Testament of Sherlock Holmes,PC,2012.0,0.0,0.06,0.0,0.01,0.07
Pac-Man and the Ghostly Adventures 2,WiiU,2014.0,0.05,0.02,0.0,0.01,0.07
The Wolf Among Us,PlayStationVita,2014.0,0.05,0.0,0.0,0.02,0.07
The Legend of Heroes VII: The Trail of Zero,PlayStationVita,2012.0,0.0,0.0,0.07,0.0,0.07
BlazBlue: Chrono Phantasma Extend,PlayStationVita,2015.0,0.0,0.05,0.0,0.01,0.07
Battleborn,PC,2016.0,0.03,0.03,0.0,0.01,0.07
The Legend of Heroes: Trails in the Sky First Chapter,PlayStationVita,2015.0,0.0,0.0,0.07,0.0,0.07
IA/VT Colorful,PlayStationVita,2015.0,0.0,0.0,0.07,0.0,0.07
Assassin's Creed: Rogue,PC,2015.0,0.04,0.02,0.0,0.01,0.07
Dynasty Warriors 8: Empires,XboxOne,2014.0,0.04,0.02,0.0,0.01,0.07
Tank! Tank! Tank!,WiiU,2012.0,0.02,0.01,0.05,0.0,0.07
Divinity: Original Sin,XboxOne,2015.0,0.04,0.02,0.0,0.01,0.07
Toy Soldiers: War Chest,PlayStation4,2015.0,0.06,0.0,0.0,0.01,0.07
Pro Yaky? Spirits 2014,PlayStationVita,2014.0,0.0,0.0,0.07,0.0,0.07
GRID 2,PC,2013.0,0.0,0.06,0.0,0.01,0.07
Grand Ages: Medieval,PlayStation4,2015.0,0.0,0.05,0.01,0.01,0.07
Alan Wake,PC,2012.0,0.0,0.06,0.0,0.01,0.07
Just Dance: Disney Party 2,XboxOne,2015.0,0.05,0.01,0.0,0.01,0.07
Resident Evil 6,PlayStation4,2016.0,0.05,0.0,0.0,0.01,0.07
The Book of Unwritten Tales 2,PlayStation4,2015.0,0.0,0.06,0.0,0.01,0.07
Transformer: Rise of the Dark Spark,WiiU,2014.0,0.05,0.01,0.0,0.01,0.07
Hyperdimension Neptunia Victory,PlayStationVita,2014.0,0.0,0.0,0.07,0.0,0.07
Fairy Fencer F: Advent Dark Force,PlayStation4,2015.0,0.02,0.0,0.05,0.0,0.07
MotorStorm RC,PlayStationVita,2012.0,0.0,0.05,0.0,0.02,0.07
One Piece: Unlimited World Red,WiiU,2014.0,0.0,0.04,0.02,0.0,0.07
Pro Evolution Soccer 2015,PC,2014.0,0.0,0.06,0.0,0.01,0.07
Disney Infinity,PlayStationVita,2013.0,0.05,0.0,0.0,0.02,0.07
Atelier Meruru: Alchemist of Arland 3,PlayStationVita,2013.0,0.0,0.0,0.06,0.0,0.06
Genkai Tokki Monster Monpiece,PlayStationVita,2013.0,0.0,0.0,0.06,0.0,0.06
The LEGO Movie Videogame,PC,2014.0,0.02,0.04,0.0,0.01,0.06
Broken Sword 5: The Serpent's Curse,PlayStation4,2015.0,0.0,0.06,0.0,0.01,0.06
Bullet Girls,PlayStationVita,2014.0,0.0,0.0,0.06,0.0,0.06
Rugby 15,PlayStationVita,2015.0,0.0,0.05,0.0,0.01,0.06
Samurai Warriors Chronicles 3,PlayStationVita,2014.0,0.0,0.0,0.06,0.0,0.06
Legend of Kay,PlayStation4,2015.0,0.02,0.03,0.0,0.01,0.06
Lego Batman 3: Beyond Gotham,PC,2014.0,0.0,0.06,0.0,0.01,0.06
Killer Instinct (2013),XboxOne,2013.0,0.03,0.03,0.0,0.01,0.06
Ratchet & Clank Collection,PlayStationVita,2014.0,0.0,0.05,0.0,0.01,0.06
Pro Yaky? Spirits 2013,PlayStationVita,2013.0,0.0,0.0,0.06,0.0,0.06
Song of the Deep,PlayStation4,2016.0,0.05,0.0,0.0,0.01,0.06
Earth Defense Force 2017 Portable,PlayStationVita,2012.0,0.0,0.0,0.06,0.0,0.06
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,2015.0,0.0,0.0,0.06,0.0,0.06
Valentino Rossi: The Game,PlayStation4,2016.0,0.01,0.05,0.0,0.01,0.06
Devil's Third,WiiU,2015.0,0.04,0.02,0.0,0.01,0.06
Terraria,PlayStation4,2014.0,0.0,0.05,0.01,0.01,0.06
Risen 3: Titan Lords,PlayStation4,2015.0,0.0,0.05,0.0,0.01,0.06
Zero Escape: Zero Time Dilemma,PlayStationVita,2016.0,0.03,0.0,0.02,0.01,0.06
Remember Me,PC,2013.0,0.0,0.05,0.0,0.01,0.06
The Legend of Heroes VII: The Trail of Blue,PlayStationVita,2014.0,0.0,0.0,0.06,0.0,0.06
BlazBlue: Chrono Phantasma Extend,XboxOne,2015.0,0.05,0.01,0.0,0.01,0.06
Destiny: The Collection,PlayStation4,2016.0,0.01,0.04,0.0,0.01,0.06
Darksiders II,XboxOne,2015.0,0.03,0.02,0.0,0.01,0.06
Genkai Tokki: Moero Crystal,PlayStationVita,2015.0,0.0,0.0,0.06,0.0,0.06
DuckTales: Remastered,WiiU,2013.0,0.05,0.0,0.0,0.0,0.06
Atelier Sophie: The Alchemist of the Mysterious Book,PlayStationVita,2015.0,0.0,0.0,0.06,0.0,0.06
TrackMania Turbo,XboxOne,2016.0,0.02,0.03,0.0,0.0,0.06
Summon Night 6: Lost Borders,PlayStationVita,2016.0,0.0,0.0,0.06,0.0,0.06
Arcana Heart 3,PlayStationVita,2014.0,0.03,0.0,0.02,0.01,0.06
Mahouka Koukou no Rettousei: Out of Order,PlayStationVita,2014.0,0.0,0.0,0.06,0.0,0.06
Project Setsuna,PlayStation4,2016.0,0.0,0.0,0.06,0.0,0.06
The Amazing Spider-Man 2 (2014),WiiU,2014.0,0.03,0.02,0.0,0.0,0.06
Yomawari,PlayStationVita,2015.0,0.0,0.0,0.06,0.0,0.06
Murdered: Soul Suspect,PC,2014.0,0.0,0.05,0.0,0.01,0.06
Romance of the Three Kingdoms 13,PlayStation4,2015.0,0.01,0.0,0.05,0.0,0.06
Utawarerumono: Itsuwari no Kamen,PlayStation4,2015.0,0.0,0.0,0.06,0.0,0.06
Chaos Rings III,PlayStationVita,2014.0,0.0,0.0,0.06,0.0,0.06
Rugby World Cup 2015,PlayStation4,2015.0,0.0,0.05,0.0,0.01,0.06
Nights of Azure,PlayStation4,2015.0,0.03,0.02,0.0,0.01,0.06
Pro Yaky? Spirits 2012,PlayStationVita,2012.0,0.0,0.0,0.06,0.0,0.06
Doki-Doki Universe,PlayStationVita,2013.0,0.01,0.04,0.0,0.01,0.06
Fate/Stay Night [Réalta Nua],PlayStationVita,2012.0,0.0,0.0,0.06,0.0,0.06
The Lost Chronicles of Zerzura,PC,2012.0,0.0,0.05,0.0,0.01,0.06
MX vs. ATV Supercross Encore,PlayStation4,2015.0,0.0,0.05,0.0,0.01,0.06
Handball 16,PlayStation4,2015.0,0.0,0.05,0.0,0.01,0.06
Grand Kingdom,PlayStation4,2015.0,0.02,0.0,0.03,0.0,0.06
Nobunaga no Yabou: Souzou,PlayStation4,2014.0,0.0,0.0,0.06,0.0,0.06
Legend of Kay,WiiU,2015.0,0.03,0.02,0.0,0.0,0.05
Kamen Rider: Battride War Genesis,PlayStation4,2016.0,0.0,0.0,0.05,0.0,0.05
Samurai Warriors 4: Empires,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Miracle Girls Festival,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Saki: Zenkoku-hen,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate,PlayStationVita,2015.0,0.01,0.0,0.04,0.0,0.05
Adventure Time: Finn & Jake Investigations,WiiU,2015.0,0.03,0.02,0.0,0.0,0.05
Samurai Warriors 4-II,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Dark Souls III,PC,2016.0,0.0,0.05,0.0,0.0,0.05
Uta no Prince-Sama: Music 3,PlayStationVita,2016.0,0.0,0.0,0.05,0.0,0.05
Nobunaga's Ambition: Sphere of Influence,PlayStationVita,2014.0,0.0,0.0,0.05,0.0,0.05
ZombiU,PlayStation4,2016.0,0.0,0.04,0.01,0.01,0.05
Utawarerumono: Futari no Hakuoro,PlayStationVita,2016.0,0.0,0.0,0.05,0.0,0.05
Chaos;Child,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
FIFA 17,PC,2016.0,0.0,0.05,0.0,0.0,0.05
Arcania: Gothic 4,PlayStation4,2015.0,0.04,0.0,0.0,0.01,0.05
The Bureau: XCOM Declassified,PC,2013.0,0.0,0.05,0.0,0.01,0.05
Toy Soldiers: War Chest,XboxOne,2015.0,0.05,0.0,0.0,0.01,0.05
Omega Labyrinth,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Dead or Alive Xtreme 3: Fortune,PlayStation4,2016.0,0.0,0.0,0.05,0.0,0.05
Stranger of Sword City,PlayStationVita,2015.0,0.02,0.02,0.0,0.01,0.05
WRC 5: FIA World Rally Championship,PlayStation4,2015.0,0.0,0.04,0.0,0.01,0.05
Earth Defense Force 4.1: The Shadow of New Despair,PlayStation4,2015.0,0.02,0.02,0.0,0.01,0.05
SpongeBob: HeroPants,PlayStationVita,2015.0,0.03,0.01,0.0,0.01,0.05
Project Setsuna,PlayStationVita,2016.0,0.0,0.0,0.05,0.0,0.05
Mortal Kombat X,PC,2015.0,0.01,0.04,0.0,0.0,0.05
Luminous Arc Infinity,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Assetto Corsa,PlayStation4,2016.0,0.0,0.04,0.0,0.01,0.05
Street Fighter V,PC,2016.0,0.0,0.05,0.0,0.0,0.05
Sherlock Holmes: Crimes & Punishments,PC,2014.0,0.0,0.05,0.0,0.0,0.05
Child of Light,PlayStation4,2014.0,0.0,0.01,0.04,0.0,0.05
To Heart 2: Dungeon Travelers,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Caligula,PlayStationVita,2016.0,0.0,0.0,0.05,0.0,0.05
Steins;Gate 0,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Super Heroine Chronicle,PlayStationVita,2014.0,0.0,0.0,0.05,0.0,0.05
The Technomancer,PlayStation4,2016.0,0.01,0.03,0.0,0.01,0.05
Ben 10 Galactic Racing,PlayStationVita,2012.0,0.02,0.02,0.0,0.01,0.05
Mirror's Edge Catalyst,PC,2016.0,0.01,0.03,0.0,0.01,0.05
LEGO The Hobbit,PC,2014.0,0.0,0.04,0.0,0.01,0.05
PAC-MAN and the Ghostly Adventures,WiiU,2013.0,0.04,0.01,0.0,0.0,0.05
Steins;Gate 0,PlayStation4,2015.0,0.0,0.0,0.05,0.0,0.05
Adventure Time: Finn & Jake Investigations,XboxOne,2015.0,0.02,0.02,0.0,0.0,0.05
Atelier Rorona: Alchemist of Arland,PlayStationVita,2013.0,0.0,0.0,0.05,0.0,0.05
Sengoku Basara 4: Sumeragi,PlayStation4,2015.0,0.0,0.0,0.05,0.0,0.05
Pro Cycling Manager 2016,PlayStation4,2016.0,0.0,0.04,0.0,0.01,0.05
MXGP 2,XboxOne,2016.0,0.02,0.02,0.0,0.0,0.05
Bladestorm: Nightmare,XboxOne,2015.0,0.03,0.02,0.0,0.0,0.05
Putty Squad,PlayStationVita,2013.0,0.02,0.02,0.0,0.01,0.05
Sword Art Online: Game Director's Edition,PlayStation4,2015.0,0.0,0.0,0.05,0.0,0.05
Kamen Rider: Battride War Genesis,PlayStationVita,2016.0,0.0,0.0,0.05,0.0,0.05
Saints Row: Gat out of Hell,PlayStation4,2015.0,0.0,0.04,0.0,0.01,0.05
Wasteland 2,XboxOne,2015.0,0.04,0.01,0.0,0.0,0.05
Payday 2,PC,2013.0,0.04,0.0,0.0,0.0,0.05
Grand Ages: Medieval,PC,2015.0,0.0,0.04,0.0,0.0,0.05
F1 2015,PC,2015.0,0.0,0.04,0.0,0.0,0.05
Game of Thrones (Telltale),PlayStation4,2015.0,0.04,0.0,0.0,0.01,0.05
Shin Hayarigami,PlayStationVita,2014.0,0.0,0.0,0.05,0.0,0.05
Puyo Puyo Tetris,PlayStationVita,2014.0,0.0,0.0,0.05,0.0,0.05
XBLAZE Code: Embryo,PlayStationVita,2013.0,0.03,0.0,0.01,0.01,0.05
Time Travelers,PlayStationVita,2012.0,0.0,0.0,0.05,0.0,0.05
To Love-Ru Trouble Darkness: Battle Ecstasy,PlayStationVita,2014.0,0.0,0.0,0.05,0.0,0.05
Tokyo Ghoul: Jail,PlayStationVita,2015.0,0.0,0.0,0.05,0.0,0.05
Atelier Ayesha: The Alchemist of Dusk,PlayStationVita,2014.0,0.0,0.0,0.05,0.0,0.05
Mighty No. 9,PlayStation4,2016.0,0.04,0.0,0.0,0.01,0.05
Plants vs. Zombies: Garden Warfare 2,PC,2016.0,0.0,0.04,0.0,0.0,0.05
Hakuouki SSL: Sweet School Life,PlayStationVita,2014.0,0.0,0.0,0.05,0.0,0.05
SpongeBob SquarePants: Plankton's Robotic Revenge,WiiU,2013.0,0.0,0.04,0.0,0.0,0.05
Atelier Escha & Logy: Alchemists of the Dusk Sky,PlayStationVita,2015.0,0.0,0.0,0.04,0.0,0.04
World Trigger: Borderless Mission,PlayStationVita,2015.0,0.0,0.0,0.04,0.0,0.04
Exist Archive: The Other Side of the Sky,PlayStationVita,2015.0,0.0,0.0,0.04,0.0,0.04
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PlayStation4,2016.0,0.0,0.0,0.04,0.0,0.04
Dead Island Definitive Collection,XboxOne,2016.0,0.02,0.02,0.0,0.0,0.04
Resident Evil 6,PC,2012.0,0.0,0.04,0.0,0.01,0.04
Sébastien Loeb Rally Evo,PlayStation4,2016.0,0.0,0.04,0.0,0.01,0.04
Hyperdimension Neptunia mk2,PlayStationVita,2014.0,0.0,0.0,0.04,0.0,0.04
R.B.I. Baseball 2016,XboxOne,2016.0,0.04,0.0,0.0,0.0,0.04
Life is Strange,PC,2016.0,0.01,0.03,0.0,0.0,0.04
Pro Evolution Soccer 2016,PC,2015.0,0.0,0.04,0.0,0.0,0.04
Little Battlers eXperience W,PlayStationVita,2012.0,0.0,0.0,0.04,0.0,0.04
