Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Total War: Rome II,PC,2013.0,0.12,0.53,0.0,0.11,0.76
Rare Replay,XboxOne,2015.0,0.47,0.21,0.01,0.07,0.75
Tearaway,PlayStationVita,2013.0,0.17,0.39,0.0,0.19,0.75
Just Dance 2015,WiiU,2014.0,0.4,0.28,0.0,0.07,0.75
LEGO Marvel Super Heroes,WiiU,2013.0,0.31,0.35,0.02,0.06,0.74
Call of Duty: Ghosts,PC,2013.0,0.23,0.41,0.0,0.09,0.73
Dragon Age: Inquisition,PC,2014.0,0.32,0.34,0.0,0.07,0.73
XCOM: Enemy Unknown,PC,2012.0,0.26,0.36,0.0,0.1,0.72
Final Fantasy XIV: A Realm Reborn,PlayStation4,2014.0,0.32,0.22,0.08,0.1,0.72
Monster Hunter Tri,WiiU,2012.0,0.26,0.19,0.22,0.04,0.72
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PlayStation4,2015.0,0.16,0.13,0.37,0.06,0.71
Final Fantasy X/X-2 HD Remaster,PlayStation4,2015.0,0.29,0.25,0.06,0.11,0.71
Football Manager 2014,PC,2013.0,0.0,0.6,0.0,0.1,0.71
Metal Gear Solid V: The Phantom Pain,XboxOne,2015.0,0.37,0.26,0.01,0.06,0.71
Skylanders: Trap Team,WiiU,2014.0,0.39,0.25,0.0,0.06,0.7
Assassin's Creed IV: Black Flag,PC,2013.0,0.22,0.38,0.0,0.1,0.69
Plants vs. Zombies: Garden Warfare,XboxOne,2014.0,0.39,0.23,0.0,0.06,0.68
Disney Infinity 3.0,PlayStation4,2015.0,0.21,0.36,0.0,0.11,0.68
Rayman Legends,WiiU,2013.0,0.26,0.33,0.03,0.06,0.68
Metro: Last Light,PlayStation4,2014.0,0.22,0.3,0.04,0.12,0.68
Sniper Elite 3,PlayStation4,2014.0,0.22,0.33,0.0,0.13,0.68
Doom (2016),XboxOne,2016.0,0.39,0.23,0.0,0.06,0.68
Need for Speed (2015),XboxOne,2015.0,0.3,0.33,0.0,0.06,0.68
Need for Speed Rivals,XboxOne,2013.0,0.45,0.17,0.0,0.05,0.67
Wolfenstein: The New Order,XboxOne,2014.0,0.33,0.28,0.0,0.06,0.67
The Witcher 3: Wild Hunt,PC,2015.0,0.2,0.42,0.0,0.05,0.67
The LEGO Movie Videogame,PlayStation4,2014.0,0.24,0.31,0.01,0.11,0.67
BioShock Infinite,PC,2013.0,0.28,0.3,0.0,0.08,0.67
Minecraft: Story Mode,PlayStation4,2015.0,0.23,0.33,0.0,0.11,0.67
The LEGO Movie Videogame,WiiU,2014.0,0.35,0.23,0.03,0.06,0.66
Rocksmith 2014,PC,2013.0,0.35,0.24,0.0,0.07,0.66
LEGO Marvel Super Heroes,PlayStationVita,2013.0,0.15,0.35,0.0,0.16,0.66
F1 2015,PlayStation4,2015.0,0.09,0.44,0.03,0.09,0.66
Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014.0,0.38,0.22,0.0,0.06,0.65
The Evil Within,XboxOne,2014.0,0.35,0.25,0.0,0.05,0.65
MLB 14: The Show,PlayStation4,2014.0,0.58,0.0,0.0,0.07,0.65
Crysis 3,PC,2013.0,0.17,0.39,0.0,0.09,0.64
Diablo III,XboxOne,2014.0,0.35,0.24,0.0,0.05,0.64
NBA 2K17,XboxOne,2016.0,0.54,0.04,0.0,0.07,0.64
LEGO Marvel's Avengers,PlayStation4,2016.0,0.25,0.29,0.0,0.1,0.64
Gravity Rush,PlayStationVita,2012.0,0.26,0.2,0.09,0.1,0.64
LEGO Dimensions,PlayStation4,2015.0,0.22,0.32,0.0,0.1,0.64
God of War III,PlayStation4,2015.0,0.23,0.29,0.01,0.1,0.63
The Crew,XboxOne,2014.0,0.24,0.34,0.0,0.05,0.63
LEGO Jurassic World,XboxOne,2015.0,0.35,0.22,0.0,0.06,0.63
Far Cry 4,PC,2014.0,0.15,0.42,0.0,0.05,0.62
Evolve,XboxOne,2015.0,0.36,0.2,0.0,0.06,0.62
FIFA Soccer,PlayStationVita,2012.0,0.17,0.34,0.02,0.09,0.62
Rocksmith 2014,PlayStation4,2014.0,0.34,0.17,0.0,0.11,0.62
NHL 16,PlayStation4,2015.0,0.35,0.15,0.0,0.11,0.61
Plants vs. Zombies: Garden Warfare,PlayStation4,2014.0,0.21,0.29,0.01,0.11,0.61
Just Dance 2014,WiiU,2013.0,0.33,0.23,0.0,0.05,0.61
